序号,title,authors,year,publication_info,url,abstract,source,相关度评分
59,基于生成式人工智能的经济管理学科相关研究综述,胡祥培， 周雅娴,2025.0,"胡祥培， 周雅娴 - 中国管理科学, 2025 - zgglkx.com",https://www.zgglkx.com/EN/Y2025/V33/I1/76,"… 知识图谱的构建[30]和检测知识图谱的异常[31],以 及知识图谱和生成式人工智能协作进行疾病预 测[32]. 2)在知识… 代 理[121],聊天机器人[122]和问答系统[123]在心理健康的 应用,以及利用生成…",Google Scholar,0
60,面向推荐系统的多模态生成研究综述.,张瑞， 卞志鹏,2025.0,"张瑞， 卞志鹏 - Journal of Frontiers of Computer Science & …, 2025 - lib.zjsru.edu.cn",https://lib.zjsru.edu.cn/26-1.8-2.pdf,"… 在推荐系统中,也可以进一步结合知识图谱和 用户画像,将用户和… UniMS-RAG[29]等工作将用户个性化信息视作知识源, 先检索与… 例 如当某热点事件发生时,模型生成一段综合多条帖子的 信息…",Google Scholar,0
61,基于大语言模型的财务报告指标抽取智能体方法,张亚豪， 施水才， 王洪俊， 秦疆,2025,"张亚豪， 施水才， 王洪俊， 秦疆 - Artificial Intelligence and Robotics …, 2025 - pdf.hanspub.org",https://pdf.hanspub.org/airr_2610700.pdf,"… 在检索端,为了提升召回率和精准度,Lee 等人专注于改进金融文档问答模型的检索策略,而Kim … 了将知识图谱(Knowledge Graphs)与 传统向量检索相结合的混合方法,以期利用结构化知识增强…",Google Scholar,0
62,图模融合: 人工智能系统事实表达和逻辑推理增强.,杨娟， 沈游人,2025,"杨娟， 沈游人 - Big Data Research (2096-0271), 2025 - openurl.ebsco.com",https://openurl.ebsco.com/contentitem/gcd:182486614?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:182486614&crl=c&jrnl=20960271,"… 微软提出了GraphRAG 框架,该框架 旨在通过知识图谱增强大… 图谱检索:系统根据用户的审计需 求,结合业务对象(如企业,金融… 大模型 的知识问答和推理,开发基于大模型的知 识问答系统,使其…",Google Scholar,0
63,Comprehensive Review of Retrieval-Augmented Generation.,"X WU, T FU",2018,"X WU, T FU - Journal of Computer Engineering & Applications, 2018 - openurl.ebsco.com",https://openurl.ebsco.com/contentitem/gcd:188889060?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:188889060&crl=c&jrnl=10028331,"… 错误决策,尤其是在新闻,医疗,金融等 对信息真实度和准确性要求… 研究综述以及基于 RAG 变体的 GraphRAG 相关技术与应用[16] … 不过 GraphRAG 在抽象问答任务中或在问题中没 有明确提及…",Google Scholar,0
64,基于大语言模型的威胁情报高效抽取与攻击推理方法研究.,彭国军， 李家琛， 杨秀璋， 吕锦钊,2025,"彭国军， 李家琛， 杨秀璋， 吕锦钊 - Journal on Communication …, 2025 - joconline.com.cn",https://www.joconline.com.cn/rc-pub/front/front-article/download/139239893/lowqualitypdf/%E5%9F%BA%E4%BA%8E%E5%A4%A7%E8%AF%AD%E8%A8%80%E6%A8%A1%E5%9E%8B%E7%9A%84%E5%A8%81%E8%83%81%E6%83%85%E6%8A%A5%E9%AB%98%E6%95%88%E6%8A%BD%E5%8F%96%E4%B8%8E%E6%94%BB%E5%87%BB%E6%8E%A8%E7%90%86%E6%96%B9%E6%B3%95%E7%A0%94%E7%A9%B6.pdf,"… 3) 融合检索增强生成(RAG, retrieval-augmented generation)… 推理模 型,通过引入图检索增强生成(GraphRAG)实现 对攻击链中… 能够处 理复杂的语言理解任务,如问答,对话生成以及推 理任务. …",Google Scholar,0
65,大语言模型幻觉研究综述,何金骍， 王洪俊,2026,"何金骍， 王洪俊 - Artificial Intelligence and Robotics Research, 2026 - pdf.hanspub.org",https://pdf.hanspub.org/airr_2610744.pdf,"… 适配(LoRA)技术,将三个公开金融新闻数据集的32,970 条样本转为(… 检索增强技术 检索增强技术(RAG)的核心设计是让检索组件与… 即可完成更新,有效避免了GraphRAG 的全量重建开销,实现了…",Google Scholar,0
66,Correlation Is Not Enough: Embedding Human Metadata for Individual Causal Discovery,"['Suraj Biswas', 'Saurabh Gupta', 'Pritam Mukherjee']",2026-06-08T15:54:28+00:00,arXiv,,"Ask a pretrained biomedical language model whether ""cortisol 28 ug/dL"" and ""stock-market volatility"" are related, and it returns a cosine similarity of 0.83 on a scale where 1.0 means identical. The two share no mechanism. This is not a corner case: every off-the-shelf biomedical encoder we tested (BioBERT, PubMedBERT, BioM-ELECTRA) scores unrelated cross-domain pairs between 0.76 and 0.92 when the answer should be near zero. Accuracy on cross-domain discrimination is 0%.
  Retrieval systems survive this, because a language model downstream filters the noise. A Large Behavioural Model (LBM), a foundation model whose subject is a person rather than a sentence, does not: it reasons over a graph of a user's life and treats embedding proximity as evidence that two events are causally linked. False proximity writes a false causal edge, and everything downstream inherits the error. Here, embedding geometry is not a tuning knob; it is correctness.
  We report the fix. A contrastive pass over 72,034 pairs raises PubMedBERT BIOSSES correlation from 0.633 to 0.828 and within-vs-across-domain separation from 1.05x to 1.63x. A second pass, BODHI, mines hard negatives from edges absent in a biomedical knowledge graph and lifts separation to 2.30x and the discrimination gap to +0.392, at a 4.5% BIOSSES cost. On an Intel Xeon 6737P with AMX, OpenVINO cuts single-query latency from 1367 ms to 10 ms (133x) and reaches 555 sentences/sec. One finding contradicts standard advice: FP16 beats INT8 on this silicon at every serving batch size, and we explain why. The same model on a no-AMX Ice Lake instance runs 13-27x slower. We release the benchmark suite, training corpora, the BODHI generator, and the OpenVINO scripts.",arXiv,0
67,Survey on Retrieval-Augmented Generation for Task Planning.,"Y MA, X CHEN, L ZHANG, J LAI",2026,"Y MA, X CHEN, L ZHANG, J LAI - Journal of Frontiers of …, 2026 - openurl.ebsco.com",https://openurl.ebsco.com/contentitem/gcd:192721848?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:192721848&crl=c&jrnl=16739418,"… ,根据不同的时机触发检索增强生成,显著增强了大语言模 型在… 随着RAG的应用研究从过去的知识问答向复杂逻 辑推理与任务… 外部环境中检索知识,另一方面还 会根据检索结果驱动如金融操作,…",Google Scholar,0
68,Recent Advances in Text-attributed Graph Learning via Large Models,"YP ZHENG, JR JI, YW HU, ZW WEI",2026,"YP ZHENG, JR JI, YW HU, ZW WEI - Acta Automatica Sinica, 2026 - sciengine.com",https://www.sciengine.com/doi/10.16383/j.aas.c250499,"… 特征层增强直接将文本属性编码为节点向量, 作为 GNN 的输入特征; 文本层增强则通过 LLM 生成扩展后的文本描述, 再将其编码为增强特征, 从而提升节点表示的表达能力. 这一范式有效地将 …",Google Scholar,0
