序号,title,authors,year,publication_info,url,abstract,source,相关度评分
39,Graph-Augmented Retrieval for Cross-Entity Financial Sentiment Analysis: A Comparative Study,"['Rajan Bastakoti', 'Sagar Bhetwal', 'Nirajan Acharya', 'Gaurav Kumar Gupta']",2026-05-19T18:55:15+00:00,arXiv,,"Retrieval-Augmented Generation (RAG) has become foundational for grounding large language models in domain-specific corpora, yet conventional vector-based RAG systems are fundamentally limited in their ability to capture the structured, multi-entity relationships that underpin financial market analysis. This paper presents a comprehensive comparative study of a novel two-hop Graph-RAG architecture versus a standard vector-only baseline for cross-entity financial sentiment analysis. Our system constructs a sentiment-weighted knowledge graph of 59 equity entities from 255 news articles covering 10 major technology stocks, then augments dense retrieval with intensity-filtered graph traversal over INFLUENCES edges to surface relational evidence inaccessible to vector search alone.
  We evaluate both architectures on 100 grounded queries (30 Direct, 70 Relational) using semantic similarity, entity recall, RAGAS metrics, latency benchmarks, and ablation studies. Graph-RAG achieves a statistically significant improvement in entity recall (+6.4%, p < 0.001, Wilcoxon signed-rank) and delivers substantially more relevant answers for complex multi-entity queries (+11.7% Answer Relevancy), with gains concentrating in relational question types (+16.1%). Critically, these improvements come at no measurable cost to answer quality (delta = +0.001 semantic similarity, Cohen's d = 0.078), with a modest 22.6% increase in mean latency offset by an 80% reduction in latency variance.
  An ablation study on the graph traversal intensity threshold reveals an inverted-U relationship with answer quality, identifying tau = 0.5 as optimal over the production default of tau = 0.7. These findings characterize a precision-for-coverage trade-off inherent to graph-augmented retrieval and provide actionable architectural guidance for practitioners building RAG systems for multi-entity financial analysis.",arXiv,1
40,Chinese Stock Prediction Based on a Multi-Modal Transformer Framework: Macro-Micro Information Fusion,"['Lumen AI', 'Tengzhou No. 1 Middle School', 'Shihao Ji', 'Zihui Song', 'Fucheng Zhong', 'Jisen Jia', 'Zhaobo Wu', 'Zheyi Cao', 'Xu Tianhao']",2025-01-28T01:39:35+00:00,arXiv,,"This paper proposes an innovative Multi-Modal Transformer framework (MMF-Trans) designed to significantly improve the prediction accuracy of the Chinese stock market by integrating multi-source heterogeneous information including macroeconomy, micro-market, financial text, and event knowledge. The framework consists of four core modules: (1) A four-channel parallel encoder that processes technical indicators, financial text, macro data, and event knowledge graph respectively for independent feature extraction of multi-modal data; (2) A dynamic gated cross-modal fusion mechanism that adaptively learns the importance of different modalities through differentiable weight allocation for effective information integration; (3) A time-aligned mixed-frequency processing layer that uses an innovative position encoding method to effectively fuse data of different time frequencies and solves the time alignment problem of heterogeneous data; (4) A graph attention-based event impact quantification module that captures the dynamic impact of events on the market through event knowledge graph and quantifies the event impact coefficient. We introduce a hybrid-frequency Transformer and Event2Vec algorithm to effectively fuse data of different frequencies and quantify the event impact. Experimental results show that in the prediction task of CSI 300 constituent stocks, the root mean square error (RMSE) of the MMF-Trans framework is reduced by 23.7% compared to the baseline model, the event response prediction accuracy is improved by 41.2%, and the Sharpe ratio is improved by 32.6%.",arXiv,1
41,基于大语言模型与知识图谱的水稻病虫害专家系统.,吴桓宇， 陈明， 郭钦鸿,2025,"吴桓宇， 陈明， 郭钦鸿 - Transactions of the Chinese Society of …, 2025 - openurl.ebsco.com",https://openurl.ebsco.com/contentitem/gcd:189351176?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:189351176&crl=c&jrnl=10026819,"… 的GraphRAG 框架增强了总结能力,但垂直领 域的细节问答方面… 的LightRAG 框 架通过双层检索增强了细节问答能力,但随着LLM … 尽管LLM 与知识图谱的结合已在医疗,法律和金融 等领域取得…",Google Scholar,1
42,Biodiversity Media Narratives and Stock Market Performance: Evidence from Europe,"['Andres Azqueta-Gavaldon', 'Ben Jabeur Sami', 'Leila Hedhili']",2026-06-18T09:11:14+00:00,arXiv,,"This study constructs novel biodiversity related media risk indicators for France, Germany, Italy, and Spain over 2015-2025, capturing media attention to biodiversity threats using the GDELT Global Knowledge Graph. Using panel Granger causality tests and an augmented inverse probability weighting (AIPW) event-study design, we find highly significant evidence that biodiversity risk reduces stock prices, with effects peaking between 3 and 10 months after a shock. Moreover, we uncover a marked asymmetry whereby the positive effects of low biodiversity risk episodes outweigh the negative effects of high-risk episodes. Results are robust across quantiles of the return distribution and hold when controlling for European equity market volatility and economic policy uncertainty. Our findings provide the first evidence that biodiversity media narratives drive stock market valuations in Europe.",arXiv,1
43,Predictive AI with External Knowledge Infusion: Datasets and Benchmarks for Stock Markets,"['Ambedkar Dukkipati', 'Kawin Mayilvaghanan', 'Naveen Kumar Pallekonda', 'Sai Prakash Hadnoor', 'Ranga Shaarad Ayyagari']",2025-04-14T14:15:48+00:00,arXiv,,"Fluctuations in stock prices are influenced by a complex interplay of factors that go beyond mere historical data. These factors, themselves influenced by external forces, encompass inter-stock dynamics, broader economic factors, various government policy decisions, outbreaks of wars, etc. Furthermore, all of these factors are dynamic and exhibit changes over time. In this paper, for the first time, we tackle the forecasting problem under external influence by proposing learning mechanisms that not only learn from historical trends but also incorporate external knowledge from temporal knowledge graphs. Since there are no such datasets or temporal knowledge graphs available, we study this problem with stock market data, and we construct comprehensive temporal knowledge graph datasets. In our proposed approach, we model relations on external temporal knowledge graphs as events of a Hawkes process on graphs. With extensive experiments, we show that learned dynamic representations effectively rank stocks based on returns across multiple holding periods, outperforming related baselines on relevant metrics.",arXiv,1
44,FinKario: Event-Enhanced Automated Construction of Financial Knowledge Graph,"['Xiang Li', 'Penglei Sun', 'Wanyun Zhou', 'Zikai Wei', 'Yongqi Zhang', 'Xiaowen Chu']",2025-08-01T13:27:35+00:00,arXiv,,"Individual investors are significantly outnumbered and disadvantaged in financial markets, overwhelmed by abundant information and lacking professional analysis. Equity research reports stand out as crucial resources, offering valuable insights. By leveraging these reports, large language models (LLMs) can enhance investors' decision-making capabilities and strengthen financial analysis. However, two key challenges limit their effectiveness: (1) the rapid evolution of market events often outpaces the slow update cycles of existing knowledge bases, (2) the long-form and unstructured nature of financial reports further hinders timely and context-aware integration by LLMs. To address these challenges, we tackle both data and methodological aspects. First, we introduce the Event-Enhanced Automated Construction of Financial Knowledge Graph (FinKario), a dataset comprising over 305,360 entities, 9,625 relational triples, and 19 distinct relation types. FinKario automatically integrates real-time company fundamentals and market events through prompt-driven extraction guided by professional institutional templates, providing structured and accessible financial insights for LLMs. Additionally, we propose a Two-Stage, Graph-Based retrieval strategy (FinKario-RAG), optimizing the retrieval of evolving, large-scale financial knowledge to ensure efficient and precise data access. Extensive experiments show that FinKario with FinKario-RAG achieves superior stock trend prediction accuracy, outperforming financial LLMs by 18.81% and institutional strategies by 17.85% on average in backtesting.",arXiv,1
45,FinTradeBench: A Financial Reasoning Benchmark for LLMs,"['Yogesh Agrawal', 'Aniruddha Dutta', 'Md Mahadi Hasan', 'Santu Karmaker', 'Aritra Dutta']",2026-03-19T17:59:41+00:00,arXiv,,"Real-world financial decision-making is a challenging problem that requires reasoning over heterogeneous signals, including company fundamentals derived from regulatory filings and trading signals computed from price dynamics. Recently, with advances in Large Language Models (LLMs), financial analysts have begun to use them for financial decision-making tasks. However, existing financial question-answering benchmarks for testing these models primarily focus on company balance sheet data and rarely evaluate reasoning about how company stocks trade in the market or their interactions with fundamentals. To leverage the strengths of both approaches, we introduce FinTradeBench, a benchmark for evaluating financial reasoning that integrates company fundamentals and trading signals. FinTradeBench contains 1,400 questions grounded in NASDAQ-100 companies over a ten-year historical window. The benchmark is organized into three reasoning categories: fundamentals-focused, trading-signal-focused, and hybrid questions requiring cross-signal reasoning. To ensure reliability at scale, we adopt a calibration-then-scaling framework that combines expert seed questions, multi-model response generation, intra-model self-filtering, numerical auditing, and human-LLM judge alignment.
  We evaluate 14 LLMs under zero-shot prompting and retrieval-augmented settings and witness a clear performance gap. Retrieval substantially improves reasoning over textual fundamentals, but provides limited benefit for trading-signal reasoning. These findings highlight fundamental challenges in the numerical and time-series reasoning for current LLMs and motivate future research in financial intelligence.",arXiv,1
46,基于知识图谱与大模型的钻井异常智能监测与分析方法,刘子豪， 祝兆鹏， 朱林， 宋先知， 李根生， 张诚恺,2026,"刘子豪， 祝兆鹏， 朱林， 宋先知， 李根生， 张诚恺 - 石油钻探技术, 2026 - syzt.com.cn",https://www.syzt.com.cn/article/doi/10.11911/syztjs.2026036,"… 模型;融合方法在问答准确率,全面性及知识一 致性上均优于纯知识图谱问答与纯大模型问答,有效抑制了模型… 实 体,事件以及之间的关系[27–28];大语言模型(large language models, LLMs)依托…",Google Scholar,1
47,图模互补: 知识图谱与大模型融合综述,黄勃， 吴申奥， 王文广， 杨勇， 刘进…,2024,"黄勃， 吴申奥， 王文广， 杨勇， 刘进… - 武汉大学学报 …, 2024 - whdy.publish.founderss.cn",http://whdy.publish.founderss.cn/rc-pub/front/front-article/download/55755469/lowqualitypdf/%E5%9B%BE%E6%A8%A1%E4%BA%92%E8%A1%A5%EF%BC%9A%E7%9F%A5%E8%AF%86%E5%9B%BE%E8%B0%B1%E4%B8%8E%E5%A4%A7%E6%A8%A1%E5%9E%8B%E8%9E%8D%E5%90%88%E7%BB%BC%E8%BF%B0.pdf,"… 能力在各个垂直领域(如金融,医疗,教育等)也取 得一定进展.然而,… 介绍知识图谱增强大模型的自身性能,推理 能力,检索和问答,并… 实验表明,该数据集能够提高 大模型(LlaMA2)的事件预测和解释…",Google Scholar,1
48,LLM 驱动的威胁情报知识图谱自动构建方法,陈晨， 李云春， 夏铭远， 陈昊， 李巍,2025.0,"陈晨， 李云春， 夏铭远， 陈昊， 李巍 - 网络空间安全科学学报, 2025",,,Google Scholar,1
